date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,asus tuf gaming vg34wql5a,asus tuf gaming vg34wql5a,epeykatfg,08,,,,0.6299543283111886,-10.837713382017766,epeykatfg
2026-09-06,asus v440vak i58512b0d,asus v440vak i58512b0d,epeykatfg,08,,,,-8.40005106491628,3.7374939759036163,epeykatfg
2026-09-06,atalay aeo 870,atalay aeo 870,epeykatfg,05,,,,-1.012214579028592,0.8823137411702042,epeykatfg
2026-09-06,audio technica ath gdl3,audio technica ath gdl3,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,auhma arp 003,auhma arp 003,epeykatfg,05,,,,-4.395604395604402,-3.3333333333333437,epeykatfg
2026-09-06,avocado aura 60x90 cm,avocado aura 60x90 cm,epeykatfg,05,,,,0.0,1.9818331957060176,epeykatfg
2026-09-06,avocado siesta 85x180 cm,avocado siesta 85x180 cm,epeykatfg,05,,,,0.0,-4.787979885891103,epeykatfg
2026-09-06,awox hot slice,awox hot slice,epeykatfg,05,,,,-2.5721434528773957,4.206958073148992,epeykatfg
2026-09-06,awox red slice pro,awox red slice pro,epeykatfg,05,,,,0.0,-6.798029556650242,epeykatfg
2026-09-06,awox tron 3,awox tron 3,epeykatfg,05,,,,8.334722453742295,8.334722453742295,epeykatfg
2026-09-06,axle radeon rx 550 4gb,axle radeon rx 550 4gb,epeykatfg,08,,,,14.532320800148192,14.532320800148192,epeykatfg
2026-09-06,baby turco dogadan 4 beden 52 adet,baby turco dogadan 4 beden 52 adet,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,baby turco dogadan 7 beden 16 adet,baby turco dogadan 7 beden 16 adet,epeykatfg,13,,,,,,epeykatfg
2026-09-06,babytime bt 067,babytime bt 067,epeykatfg,13,,,,0.0,,epeykatfg
2026-09-06,babytime bt074 cam 125 ml,babytime bt074 cam 125 ml,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,babytime bt077 genis agiz kulplu 250 ml,babytime bt077 genis agiz kulplu 250 ml,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,babytime bt516 mini 3lu cam,babytime bt516 mini 3lu cam,epeykatfg,13,,,,0.0,,epeykatfg
2026-09-06,bambino b019,bambino b019,epeykatfg,13,,,,0.0,2.2727272727272707,epeykatfg
2026-09-06,bambino b066 kulplu pp 250 ml,bambino b066 kulplu pp 250 ml,epeykatfg,13,,,,0.0,2.2727272727272707,epeykatfg
